OperatŒvƒs informƒcijas datu kopa;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;16.04.2021;09.08.2024;reizi gadƒ
NMP statistikas atvasinƒtie rƒdŒtƒji;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;17.04.2021;09.08.2024;reizi gadƒ
Statistiskƒ informƒcija par cietuÕajiem un negadŒjumu raksturu;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;16.04.2021;09.08.2024;reizi gadƒ
NMP pavadlapas dati;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;17.04.2021;09.08.2024;reizi gadƒ
NMP brigƒØu punkti;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
IzpildŒtie izsaukumi sadalŒjumƒ p‰c dzimuma un vecuma;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
IzpildŒti izsaukumi administratŒvi teritoriƒlajƒs vienŒbƒs;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
IzpildŒti izsaukumi, sadalŒjumƒ pa prioritƒt‰m, administratŒvi...;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
NMP statistikas atvasinƒtie rƒdŒtƒji pa novadiem;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
NMP statistikas atvasinƒtie rƒdŒtƒji pa pagastiem;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
IzpildŒtie izsaukumi administratŒvi teritoriƒlajƒs vienŒbƒs p‰c dienas un...;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
IzpildŒtie izsaukumi administratŒvi teritoriƒlajƒs vienŒbƒs p‰c ned‰ëas dienas;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
IzpildŒtie izsaukumi administratŒvi teritoriƒlajƒs vienŒbƒs p‰c gada m‰neÕa;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;09.08.2024;reizi gadƒ
NMP statistikas atvasinƒtie rƒdŒtƒji pa pils‰tƒm;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;06.03.2023;24.07.2024;reizi gadƒ
Par pirmƒs palŒdzŒbas apmƒcŒbu anul‰tajƒm apliecŒbƒm;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;29.06.2023;08.07.2024;katru dienu
Par pirmƒs palŒdzŒbas apmƒcŒbu beiguÕajƒm personƒm;Neatliekamƒs medicŒniskƒs palŒdzŒbas dienests;29.06.2023;08.07.2024;katru dienu
